original,OriginalSign,OriginalPhraseImageCount,AIcurated,AIcuratedSign,AIcuratedPhraseImageCount,HumanCurated,HumanCuratedSign,HumanCuratedPhraseImageCount
too many data points,(+),2,,,,,,
too many divisions,(+),1,,,,,,
too many dots,(+),1,,,,,,
too many elements,(+),1,,,,,,
too many letters,(+),1,,,,,,
too many lines,(+),2,,,,,,
too many numbers,(+),1,,,,,,
too many points,(+),1,,,,,,
too many shapes,(+),1,,,,,,
too many spirals,(+),1,,,,,,
too many subplots,(+),1,,,,,,
too many things,(+),1,,,,,,
too much color,(+),1,,,,,,
too much data,(+),3,,,,,,
too much details,(+),1,,,,,,
too much info,(+),1,,,,,,
too much to remember,(+),1,,,,,,
too much variables,(+),1,,,,,,
took a long time to understand,(+),1,,,,,,
tough job to identify,(+),1,,,,,,
tough to see where one point ends and another begins.,(+),1,,,,,,
traditional ways of reporting statistics,(-),1,,,,,,
two axes,(-),2,,,,,,
two axes scaled by numbers,(+),1,,,,,,
two colors,(-),1,,,,,,
two different colors,(+),1,,,,,,
two graph,(+),1,,,,,,
two letters and numbers,(+),1,,,,,,
two or three data points,(-),1,,,,,,
two separate lines,(-),1,,,,,,
unable to sort,(+),1,,,,,,
uncertainty,(+),1,,,,,,
unclear filled bars,(+),1,,,,,,
unclear what the differences are,(+),1,,,,,,
undefinable criteria,(+),1,,,,,,
undefined color,(+),1,,,,,,
undefined shape,(+),1,,,,,,
undersant easly what is about,(-),1,,,,,,
understand at a glance,(-),1,,,,,,
understandable,(-),2,,,,,,
understandable visual,(-),1,,,,,,
unfamiliar,(+),1,,,,,,
unfamiliar charts,(+),1,,,,,,
unfamiliar terms,(+),2,,,,,,
unfamiliar with,(+),1,,,,,,
unfamiliar with terms,(+),1,,,,,,
unfamiliar with the image,(+),1,,,,,,
unique,(+),1,,,,,,
unique data point,(+),1,,,,,,
unknow,(+),1,,,,,,
unknown details,(+),1,,,,,,
unlikely be able to interpret,(+),1,,,,,,
unreadable,(+),1,,,,,,
unsure pattern,(+),1,,,,,,
unsure what the image is about,(-),1,,,,,,
unsure where to start looking,(+),1,,,,,,
upwards trend,(+),1,,,,,,
use of color,(+),2,,,,,,
used to work with,(-),1,,,,,,
variation in colors / shades,(+),1,,,,,,
variations of shade,(+),1,,,,,,
varied and vibrant color,(+),1,,,,,,
varied colors,(+),1,,,,,,
variety and boldness of colors,(+),1,,,,,,
variety of bright colors,(+),1,,,,,,
variety of colors,(+),1,,,,,,
variety of shapes,(+),1,,,,,,
various colors and graphics,(+),1,,,,,,
various points of data,(+),1,,,,,,
various shades of color,(+),1,,,,,,
various shapes,(+),1,,,,,,
vary in length,(+),1,,,,,,
vast interpretations,(+),1,,,,,,
very complex to process,(+),1,,,,,,
very confusing,(+),1,,,,,,
very detailed,(+),1,,,,,,
very simple to digest,(+),1,,,,,,
very straight forward,(-),1,,,,,,
very weird color,(+),1,,,,,,
visual cues,(+),1,,,,,,
visual elements relatively simple,(+),1,,,,,,
visually clean,(-),1,,,,,,
visually complex,(+),1,,,,,,
visually more details,(+),1,,,,,,
visually more striking,(+),1,,,,,,
visually overwhelming,(+),1,,,,,,
wanted to find a pattern,(+),1,,,,,,
wasn't clear what is going on,(+),1,,,,,,
wasn't intuitive,(+),1,,,,,,
wasn't lined up nicely,(+),1,,,,,,
wavy,(+),1,,,,,,
way more information,(+),1,,,,,,
weather map,(-),1,,,,,,
weight graph,(-),1,,,,,,
weird color palette,(+),1,,,,,,
what each axis is measuring,(-),1,,,,,,
what it resembles,(+),1,,,,,,
what the colors differentiate,(+),1,,,,,,
what the image portrayed,(+),1,,,,,,
what the labels mean,(+),1,,,,,,
what values or words define,(-),1,,,,,,
what visualization is showing,(+),1,,,,,,
where data intersects,(+),1,,,,,,
where every line goes,(+),1,,,,,,
white color,(+),1,,,,,,
white space,(+),1,,,,,,
wide variety of colors and gradients,(+),1,,,,,,
wind map,(-),1,,,,,,
without analysis,(+),1,,,,,,
word,(+),2,,,,,,
wording on chart,(+),1,,,,,,
wording too small,(+),1,,,,,,
words,(-),5,,,,,,
words and number,(-),1,,,,,,
words are difficult to see,(+),1,,,,,,
words selected,(+),1,,,,,,
words that I recognize,(-),1,,,,,,
words/sentences,(+),1,,,,,,
worked with before,(-),1,,,,,,
world map,(-),2,,,,,,
writing very small,(+),1,,,,,,
written information,(+),1,,,,,,
x,(-),2,,,,,,
x and y axes,(+),1,,,,,,
x and y scales,(-),1,,,,,,
x-axis is not labeled,(+),1,,,,,,
x-position,(+),1,,,,,,
y,(+),2,,,,,,
y axis,(-),1,,,,,,
y-axis is non-linear,(+),1,,,,,,
y-axis variable hard to make sense of,(+),1,,,,,,
y-position,(+),1,,,,,,
yellow,(+),1,,,,,,
you can easily understand it,(-),1,,,,,,
