Immediacy / Cognitive Load_sentiment,Immediacy / Cognitive Load_count,Immediacy / Cognitive Load,Immediacy / Cognitive Load (AIcurated),Immediacy / Cognitive Load (HumanCuration),Data Density / Image Clutter_sentiment,Data Density / Image Clutter_count,Data Density / Image Clutter,Data Density / Image Clutter (AIcurated),Data Density / Image Clutter (HumanCuration),Visual Encoding Clarity_sentiment,Visual Encoding Clarity_count,Visual Encoding Clarity,Visual Encoding Clarity (AIcurated),Visual Encoding Clarity (HumanCuration),Semantics / Text Legibility_sentiment,Semantics / Text Legibility_count,Semantics / Text Legibility,Semantics / Text Legibility (AIcurated),Semantics / Text Legibility (HumanCuration),Schema_sentiment,Schema_count,Schema,Schema (AIcurated),Schema (HumanCuration),"Color, Symbol, and Texture Details_sentiment","Color, Symbol, and Texture Details_count","Color, Symbol, and Texture Details","Color, Symbol, and Texture Details (AIcurated)","Color, Symbol, and Texture Details (HumanCuration)",Aesthetics Uncertainty_sentiment,Aesthetics Uncertainty_count,Aesthetics Uncertainty,Aesthetics Uncertainty (AIcurated),Aesthetics Uncertainty (HumanCuration)
(-),1,pretty self-explanatory,self explanatory,easy to interpret/read/understand,(+),1,No data entry,very little data,little data/info,(+),1,size variations,size variations,size variation,(-),1,X and Y axis,multiple axes,more title/axis/label,,,,,,(+),1,Soft colors more applealing,soft colors,soft/layered/overlapping colors,,,,,
(+),1,dont understand,don't understand,not interpretable/readable/understandable,(+),1,noisy,noisy,messy/mixed up/noisy/intermingled elements,(+),1,Small arrows,arrows,shapes and lines,(+),1,no legend,no legend,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,monochrome color,monochrome,monochrome,,,,,
(+),1,impossible to interpret,hard to interpret,hard to interpret/read/understand,(+),1,number of different graphic elements,multiple graphic elements,more charts/points/lines/shapes/elements,(-),1,the 2 point of each element,point position,shape position,(+),1,some values in the middle,small text,word rotation/small font size,,,,,,(-),1,blue colored,blue colored,blue color,,,,,
(-),1,easily interpretable,easier to interpret,easier to interpret/read/understand,(+),1,number of dots,more dots,more charts/points/lines/shapes/elements,(+),1,smaller,smaller,small,(+),1,Text to read,text to read,readability,,,,,,(+),1,Multiple color schemes,multiple colors,color variety/arrangement/distribution,,,,,
(+),1,provokes thought and understanding,provokes thought,provokes thought and understanding,(+),1,number of entries very high.,high number of entries,many points/lines/shapes/elements,(+),1,spots of different shapes,various shapes,shape variety,(+),1,little to no numbers,little to no numbers,little/less text/numbers/context,,,,,,(+),1,the colors,the colors,unclear colormaps,,,,,
(-),1,no way of knowing what it is showing me,no idea,unclear meaning/confusing,(+),1,number of points / shapes,more points/shapes,more charts/points/lines/shapes/elements,,1,alignment,alignment,shape arrangement,(-),1,structured and labeled,structured and labeled,title/axis/label/descriptions,,,,,,(+),1,muted colors,muted colors,soft/layered/overlapping colors,,,,,
(-),1,easy to read,easy to read,easy to interpret/read/understand,(+),1,number of shapes/details presented,more shapes/details,more charts/points/lines/shapes/elements,(-),1,time scale,scale difference,scale difference,(+),1,y-axis variable hard to make sense of,y-axis meaning unclear,y-axis meaning unclear,,,,,,(+),1,choice of colors,color choice,color variety/arrangement/distribution,,,,,
(+),1,requires more understanding,requires more understanding,more reading/interpretation/understanding,(+),1,Number of square,more squares,more charts/points/lines/shapes/elements,(+),1,squares scattered all over.,squares scattered,"scattered shapes (e.g., dots, squares, pictures)",(+),1,Text and imagery,text and imagery,text and imagery,,,,,,(+),1,undefined color,undefined color,unclear color meaning,,,,,
(+),1,not simple data,not simple data,not intuitive/simple data,(+),1,Variety of data in square,variety of data,many/more data/info,(+),1,squares scattered all over,squares scattered,"scattered shapes (e.g., dots, squares, pictures)",(+),1,Word amount,more words,more texts/words,,,,,,(-),1,range and contrast of colors,color contrast / contrast level,good color contrast/separation/segmentation,,,,,
(+),1,less intuitive,less intuitive,less intuitive,(+),1,number of things in the same area,many things in one area,many points/lines/shapes/elements,(+),1,Thick and thinness,thick and thin differences,line thickness variation,(+),1,dates,dates,dates,,,,,,(-),1,little to no shade variation,no color difference,lack of color contrast / hard to distinguish colors,,,,,
(+),1,no idea what this is,no idea,unclear meaning/confusing,(+),1,numerous intersections,many intersections,overlapping shapes/colors/lines,(+),1,more shapes of different size,more shapes of different sizes,shape size variation,(+),1,different fonts,different font sizes,different font/word sizes/structure,,,,,,(-),1,Simplistic symbol,simple symbol,symbols,,,,,
(+),1,more dificult to understand,more difficult to understand,more difficult to interpret/read/understand/differentiate,(+),1,objects spread over,spread around,much/more data/info/info spread,(+),1,two axes scaled by numbers,scale difference,scale difference,(-),1,one font only,one font,single font,,,,,,(-),1,colors used,colors used,unclear colormaps,,,,,
(+),1,cannot understand,don't understand,not interpretable/readable/understandable,(+),1,organized,organized,organized/structured,(+),1,undefined shape,undefined shape,unclear shape,(+),1,multiple axes,multiple axes,more title/axis/label,,,,,,(-),1,colors in the map,map colors,unclear coloring,,,,,
(+),1,don't know what looking at,don't know meaning,unclear meaning/confusing,(+),1,structured,structured,organized/structured,(+),1,Values - Graphic and vales have logic,value representation,value representation,(+),1,two letters and numbers,numbers and annoations,lack of/not enough axis labels/legend/annotations/context,,,,,,(-),1,colored segments,colored segments,good color contrast/separation/segmentation,,,,,
(+),1,don't know how to interpretate,don't know how to interpret,not interpretable/readable/understandable,(+),1,overlap of different colors,overlapping colors,overlapping shapes/colors/lines,(+),1,Values - Graphic and values have logic,values and graphics aligned,value and graphic alignment,(+),1,the distribution of numbers,number distribution,number distribution,,,,,,(-),1,monochrome,monochrome,monochrome,,,,,
(-),1,break down what it means,easier to interpret,easy to interpret/read/understand,(+),1,Overlapping circles,overlapping circles,overlapping shapes/colors/lines,(+),1,"size, length, points",length,length,(+),1,the ratio between them,text ratio,text ratio,,,,,,(-),1,striped,striped texture,striped texture,,,,,
(+),1,reading data more difficult,more difficult to read,more difficult to interpret/read/understand/differentiate,(+),1,overlapping colors,overlapping colors,overlapping shapes/colors/lines,(+),1,various shapes,various shapes,shape variety,(+),1,key on the top,key on top,legend on the top,,,,,,(+),1,more colours,more colors,more colors,,,,,
(-),1,easy to read at a glance,easy to read,easy to interpret/read/understand,(+),1,overlapping data points,overlapping data points,overlapping shapes/colors/lines,(+),1,wasn't lined up nicely,misaligned,misaligned,(-),1,Small numbers,small numbers,word rotation/small font size,,,,,,,1,colors are easy on the eyes,appealing colors,appealing colors,,,,,
(+),1,less accessible and comprehensible,hard to interpret,hard to interpret/read/understand,(+),1,Overlapping,overlapping,overlapping shapes/colors/lines,(+),1,Why is it moving like that.,unclear movement,unclear movement,(+),1,a lot of writing,a lot of writing,amount of words/context/numbers,,,,,,(+),1,more variation,color variation,color variety/arrangement/distribution,,,,,
(+),1,looks messy and confusing,confusing,unclear meaning/confusing,(+),1,Pictures are more scattered,scattered,"scattered shapes (e.g., dots, squares, pictures)",(+),1,dont understand what the shapes represent.,unclear shape meaning,unclear shape meaning,(+),1,Differing font size,different font sizes,different font/word sizes/structure,,,,,,(+),1,The imagery is more intense in the first.,intense colors,intense/too many colors,,,,,
(+),1,do not know the point,don't know meaning,unclear meaning/confusing,(+),1,Plotted points,more points,more charts/points/lines/shapes/elements,(-),1,on the same axis,alignment,value and graphic alignment,(+),1,Ineligible,unreadable,unreadable,,,,,,(+),1,It has a key colour,color key,color keys,,,,,
(-),1,not sure what it is used for,don't know meaning,unclear meaning/confusing,(+),1,Quantity of items,more items,more charts/points/lines/shapes/elements,(-),1,one shape,shape,shape,(+),1,small writing,small writing,word rotation/small font size,,,,,,(+),1,numbers of unique shapes/colors,number of colors,amount of / too many colors,,,,,
(-),1,not sure what it means,don't know meaning,unclear meaning/confusing,(+),1,layers of shapes/details,layers of details,fine/layered details,(-),1,2 dimensions,2D,2D/3D,(+),1,ineligible,unreadable,unclear relation between words,,,,,,(+),1,Number of colours,number of colors,amount of / too many colors,,,,,
(+),1,something to process,take longer to process,take longer to interpret,(+),1,Significantly more information,more information,much/more data/info/info spread,(-),1,clearly delineated,clearly delineated,clear delineation,(+),1,small writing and labels,small writing,word rotation/small font size,,,,,,(+),1,amount of colour used,amount of colors,amount of / too many colors,,,,,
(+),1,at first glance the dots were hard to visualise,hard to visualize,hard to see/tell/visualize,(+),1,so many cube,many cubes,more charts/points/lines/shapes/elements,(-),1,clear path to follow,clear path,clear indication,(+),1,complicated formulas and symbols,complicated formula,readability,,,,,,(+),1,The colors blends,mixed colors,soft/layered/overlapping colors,,,,,
(+),1,i am not sure I would have selected same image,not sure,unclear meaning/confusing,(+),1,So many details,too many details,too many details/divisions,(-),1,two separate lines,two lines,few lines,(-),1,what values or words define,label meaning,label meaning,,,,,,(+),1,the meaning of the colors is unclear;,unclear color meaning,unclear color meaning,,,,,
(+),1,it would be hard to connect this,hard to interpret,hard to interpret/read/understand,(+),1,too detailed,too many details,too many details/divisions,(-),1,random shape,random-like shapes,random-like shapes,(-),1,link,link,-,,,,,,(+),1,the level of details that it has provide way to much information,too many colors,intense/too many colors,,,,,
(+),1,not as sure on this one,not sure,unclear meaning/confusing,(+),1,Too many circles,too many circles,more charts/points/lines/shapes/elements,(-),1,tell the story,information nuance expressed,information nuance expressed,(-),1,numbers in the axis,axis numbers,axis numbers,,,,,,(+),1,Numbers of colors,number of colors,amount of / too many colors,,,,,
(+),1,difficult to see,hard to see,hard to see/tell/visualize,(+),1,circles and colors mixed together,circles and colors mixed,shape-color mix,(-),1,graphs are simple,simple visual elements,simple visual elements,(-),1,clear and concise,clear and concise,clear and concise,,,,,,(+),1,The image contains a greater variety of colours.,color variety,color variety/arrangement/distribution,,,,,
(+),1,take longer to understand,take longer to understand,take longer to interpret,(+),1,too many divisions,too many divisions,too many details/divisions,(+),1,More different shapes,more shape variation,shape variation,(-),1,more context,more context,more labels/context,,,,,,(+),1,the color are varied,color variation,color variety/arrangement/distribution,,,,,
(+),1,more difficult to interpret,more difficult to interpret,more difficult to interpret/read/understand/differentiate,(+),1,too many dots,too many dots,more charts/points/lines/shapes/elements,(+),1,compare images and determine which one is the closest representation of the concept they are trying to convey.,design-data relationship,design-data relationship,(-),1,text and information,text and information,clear text/scale/information,,,,,,(+),1,Bad color choice in regard to contrasts,poor color choice,low color contrast/separation/segmentation,,,,,
(-),1,undersant easly what is about,easy to understand,easy to interpret/read/understand,(+),1,too many elements,too many elements,too many points/lines/shapes/elements,(+),1,Heatmap,representation,representation,(-),1,description,description,description,,,,,,(+),1,Colour variation,color variation,color variety/arrangement/distribution,,,,,
(+),1,I have no idea what any of it means,no idea,unclear meaning/confusing,(+),1,too many shapes,too many shapes,more charts/points/lines/shapes/elements,(+),1,It has more visual aids.,more forms,more forms,(-),1,can easily be read,easy to read,easy to read,,,,,,(-),1,"Range of colours, presumably conveying meaning.",colors have meaning,color represents groups,,,,,
(+),1,very confusing,confusing,unclear meaning/confusing,(+),1,Too many lines,too many lines,more charts/points/lines/shapes/elements,(+),1,meaningless,no clear indication,no clear indication,(-),1,explanatory legend,explanatory legend,explanatory legend,,,,,,(+),1,Size,different sizes,indicating symbols,,,,,
(+),1,feels confusing,confusing,unclear meaning/confusing,(+),1,Too many sections,too many sections,too many sections,(+),1,Data correlation.,data trend,data trend,(-),1,y axis,axis,title/axis/label/descriptions,,,,,,(+),1,pattern,contrasting patterns,texture details,,,,,
(-),1,I can easily follow,easy to follow,easy to focus/follow,(+),1,Too many moving parts,too many elements,too more points/lines/shapes/elements,(+),1,Design.,complex design,complex design,(-),1,frequency each word is used,word frequency,word frequency,,,,,,(+),1,shape,colored shape,colored shape,,,,,
(+),1,a little confusing,confusing,unclear meaning/confusing,(+),1,too many numbers,many numbers,too many numbers,(+),1,It can be quite complex to work out the different category meanings.,unclear meaning,unclear meaning,(-),1,more labels,more labels,more title/axis/label,,,,,,(+),1,Details,color details,color details,,,,,
(+),1,makes me confused,confusing,unclear meaning/confusing,(+),1,too many points,too many points,more charts/points/lines/shapes/elements,(-),1,clarity,different clarity,different clarity,(-),1,numerical details,numerical details,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,Color Variability and Saturation,color saturation,color saturation,,,,,
(-),1,didn't think it imply anything too complicated,less complex,easy to derive meaning,(-),1,clear and clean,organized,organized/structured,(-),1,simplicity,simple visual elements,simple visual elements,(-),1,precise naming,precise naming,no measurement/metric/axis,,,,,,(+),1,Variety of Shapes and Patterns,symbols,symbols,,,,,
(+),1,complicated to look at,complicated,complicated to process,(+),1,Too many shapes,too many shapes,more charts/points/lines/shapes/elements,(+),1,Number of parameters,multiple aspects,multiple aspects,(-),1,x and y scales,axis scales,axis scales,,,,,,,,,,,,,,,
(+),1,Hard measure,hard to measure,hard to measure/model,(+),1,Too many variables,too many variables,more parameters/variables,(+),1,"integration of text, numbers, and visuals all being used to convey information",technical information encoding,technical encoding,(-),1,Less words,less text,little/less text/numbers/context,,,,,,,,,,,,,,,
(+),1,Hard to find exact feature,hard to find feature,hard to identify/extract/find features,(+),1,too many spirals,too many spirals,more charts/points/lines/shapes/elements,(+),1,Understanding what the visualization is about,unclear what data conveys,unclear what data conveys,(-),1,Meaning of titles,title,title/axis/label/descriptions,,,,,,,,,,,,,,,
(+),1,not as understandable,less understandable,less understandable,(-),1,less details,less details,less detailed/things,(+),1,The level of information,more nuance information,more nuance information,(+),1,Use of alpha and beta,codes,code/text,,,,,,,,,,,,,,,
(-),1,self explanatory,self explanatory,easy to interpret/read/understand,(+),1,too many subplots,too many subplots,too many subplots,(-),1,Information about what the visualisation is showing,unclear what data conveys,unclear what data conveys,(+),1,unfamiliar terms,random meaningless names,lack of meaning,,,,,,,,,,,,,,,
(+),1,I don't understand the chart,don't understand,not interpretable/readable/understandable,(+),1,too many things,too many things,many points/lines/shapes/elements,(+),1,Understanding of what I am looking at,unclear meaning,unclear meaning,(+),1,"integration of text, numbers, and visuals all being used to convey information",text and information,text and imagery,,,,,,,,,,,,,,,
(+),1,no clue on what it is about,no clue,unclear meaning/confusing,(+),1,too much details,too many details,too many details/divisions,(+),1,Understanding the shapes,shape hard to read,understand/read shapes,(+),1,"font sizes, italicization, bold",different font sizes,different font/word sizes/structure,,,,,,,,,,,,,,,
(-),1,equally difficult,more difficult,more difficult,(+),1,too much info,too much information,too much data/info,(+),1,Understanding the information,unclear what data conveys,unclear what data conveys,(+),1,The use of words rather than dots makes it more complex.,a lot of words,amount of words/context/numbers,,,,,,,,,,,,,,,
(+),1,a bit more complicated,more complicated,more complicated,(+),1,two graph,two graphs,multiple features/elements/graphs,(-),1,Human interpretability,unclear meaning,unclear meaning,(+),1,The additional layer of words adds complexity.,more words,more texts/words,,,,,,,,,,,,,,,
(+),1,do not make sense,cannot make sense,not interpretable/readable/understandable,(+),1,various points of data,various data points,more charts/points/lines/shapes/elements,(-),1,Able to imagine a meaning,unclear meaning,unclear meaning,(+),1,It's more difficult to read the words because they are small;,small text,word rotation/small font size,,,,,,,,,,,,,,,
(+),1,harder to follow the sense of the graphic,more difficult to follow,more difficult to focus/follow,(+),1,Very busy,busier layout,dense/cluttered layout,(-),1,"Range of colours, presumably conveying meaning.",code meaning,unclear meaning,(+),1,Reading the values,numerical values,involves numbers,,,,,,,,,,,,,,,
(+),1,hard to intuitively ascertain,hard to interpret,hard to interpret/read/understand,(+),1,lots of details,more information,much/more data/info/info spread,(+),1,Data interpretation,unclear what data conveys,unclear what data conveys,(+),1,Comparing different values,numerical values,involves numbers,,,,,,,,,,,,,,,
(+),1,misunderstanding of shapes,shape misunderstanding,shape misunderstanding,(+),1,very detailed,very detailed,more detailed/things,(+),1,Spread of information on the image,spatial organization,spatial organization,(+),1,signs,labels,title/axis/label/descriptions,,,,,,,,,,,,,,,
(+),1,take longer to assimulate,take longer to understand,take longer to interpret,(+),1,Way more information,more information,much/more data/info/info spread,(+),1,Volume of information,several elements,several elements,(+),1,Mix of images and words,text and imagery,text and imagery,,,,,,,,,,,,,,,
(-),1,understand at a glance,understand at a glance,easy to interpret/read/understand,(+),1,more full of stuff,more going on,more detailed/things,(+),1,Color Variability and Saturation,shapes and contrasts,shapes and contrasts,,,,,,,,,,,,,,,,,,,,
(-),1,can easily be remembered,simple to digest,easy to interpret/read/understand,(-),1,less information (elements),less information,little data/info,(+),1,Variety of Shapes and Patterns,variety of shapes,shape variety,,,,,,,,,,,,,,,,,,,,
(-),1,easily understandable,easy to understand,easy to interpret/read/understand,(-),1,there is little,very little data,little data/info,(+),1,Interconnectedness of Elements,confusing connection,confusing connection,,,,,,,,,,,,,,,,,,,,
(+),1,more complex to understand,more difficult to understand,more difficult to interpret/read/understand/differentiate,(-),1,is blank,very little data,little data/info,(+),1,Variety and Density of Elements,many shapes,multiple shapes,,,,,,,,,,,,,,,,,,,,
(+),1,not easily understood,not easily understood,not easily understood,(-),1,cleaner,organized,organized/structured,(+),1,Level of Detail,fine detail,fine/layered details,,,,,,,,,,,,,,,,,,,,
(-),1,clearer what I can learn,easy to understand,easy to understand,(-),1,tidier,organized,organized/structured,(+),1,Depth and Dimensionality,number of levels,number of levels,,,,,,,,,,,,,,,,,,,,
(-),1,allow to analyze the data,easier to process,easier to process/visualize,(-),1,fewer data points,few data points,little data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,shape is hard to read,hard to read shape,hard to read shape,(+),1,too much variables,too much variables,more parameters/variables,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,takes longer to understand,take longer to understand,take longer to interpret,(+),1,where data intersects,data intersection,data intersection,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,can't identify,cannot identify,not interpretable/readable/understandable,(+),1,Extra detail on the edge,more details,more detailed/things,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,can't understand them,don't understand,not interpretable/readable/understandable,(-),1,simple information,simple information,simple information,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,harder to read and differentiate,more difficult to read and differentiate,more difficult to interpret/read/understand/differentiate,(-),1,not much is going in there,little information,little data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,easy to identificate,easy to identify,easy to identify/extract/find features,(-),1,2 data sets,two datasets,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,harder to distinguish,more difficult to distinguish,more difficult to compare/discern/distinguish,(-),1,a few lines joined,few lines,few points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,hard to read,hard to read,hard to interpret/read/understand/differentiate,(-),1,less visual items,fewer elements,little data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,clearly see,clearly see,easy to interpret/read/understand,(-),1,Few details,little information,little data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,adds extra challenge to read it,more difficult to read,more difficult to interpret/read/understand/differentiate,(-),1,all it's detail,more details,more detailed/things,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,understandable visual,easy to understand,easy to interpret/read/understand,(-),1,two or three data points,few data points,little data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,didn't understand what was going on,don't understand,not interpretable/readable/understandable,(-),1,only has 2,two elements,many points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,straightforward,straightforward,intuitive,(-),1,a lot of similar instances,more elements,more charts/points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,can understand more quickly,easy to understand,easy to understand,(-),1,multiple copies,multiple copies,multiple features/elements/graphs,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,don't need much attention to recognize it,reduces the effort to comprehend,easy to interpret/read/understand,(+),1,overlapping volume graphs,overlapping,overlapping shapes/colors/lines,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,can easily deduce,easy to interpret,easy to interpret/read/understand,(+),1,multiple trends to compare to each other,multiple features,multiple features/elements/graphs,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,Easy to understand,easy to understand,easy to interpret/read/understand,(+),1,more detailed graphics,more detailed,more detailed/things,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,comfortable for the eyes,simple to digest,easy to interpret/read/understand,(+),1,more statistics,more information,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,intuitive understanding of graph,easy to understand,easy to interpret/read/understand,(+),1,Amount of data,more data,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,less time consuming,easy to understand,easy to interpret/read/understand,(+),1,More informations in this image.,more information,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
,1,make sense.,easier to understand,easy to interpret/read/understand,(+),1,It has more visual aids.,more elements,more charts/points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,more easily understood,more understandable,more interpretable/readable/understandable,(+),1,a lot of useful information,packed with information,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,straight to the point,straight to the point,intuitive,(+),1,It has more visual data,more data,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,easy to follow,easy to follow,easy to focus/follow,(+),1,It looks more visually complex.,more detail,more detailed/things,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,bit easier to understand,easy to understand,easy to understand,(+),1,how many type of entities they were,many elements,many points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,doesn't need to do as much visually,reduces the effort to comprehend,easy to interpret/read/understand,(+),1,numbers on entities,many numbers,many numbers,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,clearly visible at a glance,clearly see,easy to interpret/read/understand,(+),1,Number of elements,many elements,many points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,Words are easier to understand,easy to understand,easy to interpret/read/understand,(+),1,The number of graphic elements in each image,many elements,many points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,can see at a glance,understand at a glance,easy to interpret/read/understand,(+),1,a lot of color and text,more content,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,evne though didn't understand the purpose,don't know meaning,unclear meaning/confusing,(-),1,All points converges to each other so that it makes more sense,clustered information,clustered data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,more statistics,more data to comprehend,more to read/analyze/understand,(+),1,the level of details that it has provide way to much information,too much information,too much data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,comprehend the context and process the provided information.,complex to process,complicated to process,(+),1,Numbers of entities,many elements,many points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,search for any correlation and significance in the available data.,need detailed analysis,more effort/reading/detailed analysis,(+),1,Information density,information density,dense/cluttered data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,The info is more varied.,more data to comprehend,more to read/analyze/understand,(+),1,more info,more information,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,The info doesn't seem to follow a specific pattern.,confusing,unclear meaning/confusing,(+),1,a large number of variables (countries),more variables,more parameters/variables,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,several aspects of the information can be interrelated,more factors to consider,more to read/analyze/understand,(+),1,The data covers a large number of years.,larger dataset,large dataset,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,deductions can be taken,provokes thought,provokes thought and understanding,(+),1,mixed the bar on the top is imposing,cluttered,dense/cluttered layout,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,The ease of reading the image,easy to read,easy to interpret/read/understand,(+),1,Number of individual squares,many shapes,many points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,The time it takes to read the image,take longer to interpret,take longer to interpret,(+),1,Number of letters,many numbers,many numbers,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,The level of attention it requires to read the image,requires concentration,attention/squinting to understand,(+),1,Number of unique shapes,many shapes,many points/lines/shapes/elements,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,easier to read and understand,easier to understand,easier to interpret/read/understand,(+),1,condensate,concentrated information,concentrated,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,unfamiliar terms,require specialized knowledge,require specialized knowledge,(+),1,confusion,cluttered,dense/cluttered data/info,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,more impact,provokes thought,provokes thought and understanding,(-),1,simplicity,simple information,simple information,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,More complex colour scheme,more complicated,more complicated,(+),1,Spread of information on the image,more information spread,much/more data/info/info spread,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Less linear,more intricate,more intricate,(+),1,Complexity,more detail,more detailed/things,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Less symetrical,more intricate,more intricate,(+),1,The inclusion of connections between different points in the image,multiple interacting elements,multiple interacting elements,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,It's more difficult to read the words because they are small;,hard to read,hard to interpret/read/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,the graphic is vertical.,less straightforward,less intuitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,make it more complex than a 2d projection,more complicated,more complicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Understanding what the visualization is about,difficult to understand,hard to interpret/read/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Understanding different value rankings,difficult to understand,hard to interpret/read/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Looks complicated,complicated,more complicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,a large number of variables (countries),more factors to consider,more to read/analyze/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,The data covers a large number of years.,more data to comprehend,more to read/analyze/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,The image contains a greater variety of colours.,more complicated,more complicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,more information,more data to comprehend,more to read/analyze/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,mixed the bar on the top is imposing,confusing,unclear meaning/confusing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,the color are varied,more complicated,more complicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-),1,Information about what the visualisation is showing,needs understanding,more reading/interpretation/understanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,really complex for me,complicated,complicated to process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,i couldnt say what is complexer,not sure,not interpretable/readable/understandable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,confusion,confusing,unclear meaning/confusing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,readability,hard to read,hard to interpret/read/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Time to evaluate context,take longer to process,take longer to interpret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Volume of information,more data to comprehend,more to read/analyze/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Data interpretation,requires more interpretation,more reading/interpretation/understanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Spread of information on the image,more data to comprehend,more to read/analyze/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Complexity,complicated,complicated to process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,number of shapes,more factors to consider,more to read/analyze/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,jumped out to me as instantly making it more complex.,more complicated,more complicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Variety and Density of Elements,more factors to consider,more to read/analyze/understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+),1,Level of Detail,need detailed analysis,more effort/reading/detailed analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
