VisType,topic,original_phrase,image_count,humanCurated_phrase,final_subtopic_phrase
Point,Semantics / Text Legibility,more title/axis/label,3,labels/axes/legends,labels/axes/legends
Point,Semantics / Text Legibility,no measurement/metric/axis,1,labels/axes/legends,labels/axes/legends
Point,Semantics / Text Legibility,title/axis/label/descriptions,4,labels/axes/legends,labels/axes/legends
Point,Semantics / Text Legibility,too much legend,4,labels/axes/legends,labels/axes/legends
Point,Semantics / Text Legibility,fast readability,1,easy/hard to interpret,easy/hard to interpret
Point,Semantics / Text Legibility,more legible,1,easy/hard to interpret,easy/hard to interpret
Point,Semantics / Text Legibility,factual information,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Semantics / Text Legibility,nonlinear measurement/metric/axis,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Semantics / Text Legibility,clear and concise,1,distracting/confusing/unclear,distracting/confusing/unclear
Point,Semantics / Text Legibility,ambiguous numbers,1,amount of words/context/numbers,amount of words/context/numbers
Point,Semantics / Text Legibility,amount of words/context/numbers,3,amount of words/context/numbers,amount of words/context/numbers
Point,Semantics / Text Legibility,code/text,1,amount of words/context/numbers,amount of words/context/numbers
Point,Semantics / Text Legibility,more texts/words,3,amount of words/context/numbers,amount of words/context/numbers
Point,Semantics / Text Legibility,text and imagery,1,amount of words/context/numbers,amount of words/context/numbers
Point,Semantics / Text Legibility,text on picture,1,amount of words/context/numbers,amount of words/context/numbers
Point,Semantics / Text Legibility,word/text/sentence,3,amount of words/context/numbers,amount of words/context/numbers
Point,Semantics / Text Legibility,clear text/scale/information,1,clear text/scale/information,
Point,Semantics / Text Legibility,little/less text/numbers/context,1,little/less text/numbers/context,
Point,Semantics / Text Legibility,more labels/context,2,more labels/context,
Point,Visual Encoding Clarity,small,1,word rotation/small font size,word rotation/small font size
Point,Visual Encoding Clarity,clear indication,1,unclear meaning/confusing,unclear meaning/confusing
Point,Visual Encoding Clarity,different clarity,1,unclear meaning/confusing,unclear meaning/confusing
Point,Visual Encoding Clarity,unclear meaning,1,unclear meaning/confusing,unclear meaning/confusing
Point,Visual Encoding Clarity,unclear shape meaning,1,unclear meaning/confusing,unclear meaning/confusing
Point,Visual Encoding Clarity,unclear structure,1,unclear meaning/confusing,unclear meaning/confusing
Point,Visual Encoding Clarity,unclear what data conveys,2,unclear meaning/confusing,unclear meaning/confusing
Point,Visual Encoding Clarity,indistinguishable/unintuitive lines,1,shapes and lines,shapes and lines
Point,Visual Encoding Clarity,lines,2,shapes and lines,shapes and lines
Point,Visual Encoding Clarity,shape size variation,2,shapes and lines,shapes and lines
Point,Visual Encoding Clarity,shape subset representation,1,shapes and lines,shapes and lines
Point,Visual Encoding Clarity,shapes,4,shapes and lines,shapes and lines
Point,Visual Encoding Clarity,shapes and lines,3,shapes and lines,shapes and lines
Point,Visual Encoding Clarity,straight lines,1,shapes and lines,shapes and lines
Point,Visual Encoding Clarity,multiple aspects,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Visual Encoding Clarity,information nuance expressed,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Visual Encoding Clarity,technical encoding,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Visual Encoding Clarity,unique data point,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Visual Encoding Clarity,clear colors/shapes,1,clear colors/shapes,clear colors/shapes
Point,Visual Encoding Clarity,abstract shapes or colors,1,abstract shapes or colors,abstract shapes or colors
Point,Visual Encoding Clarity,2D/3D,2,2D/3D,2D/3D
Point,Visual Encoding Clarity,grid layout,1,2D/3D,2D/3D
Point,Visual Encoding Clarity,spatial organization,1,2D/3D,2D/3D
Point,Visual Encoding Clarity,ordered,1,ordered,
Point,Visual Encoding Clarity,"scattered shapes (e.g., dots, squares, pictures)",1,"scattered shapes (e.g., dots, squares, pictures)",
Point,Visual Encoding Clarity,several elements,1,several elements,
Point,Visual Encoding Clarity,shape increase/decrease point,1,shape increase/decrease point,
Point,Visual Encoding Clarity,precision of aspect,1,shape point of interest,
Point,Visual Encoding Clarity,shape position,1,shape position,
Point,Visual Encoding Clarity,shape variation,1,shape variation,
Text,Aesthetics Uncertainty,distracting/confusing/unclear,1,distracting/confusing/unclear,distracting/confusing/unclear
Text,Aesthetics Uncertainty,inconsistent,1,distracting/confusing/unclear,distracting/confusing/unclear
Text,Aesthetics Uncertainty,irregular,1,distracting/confusing/unclear,distracting/confusing/unclear
Text,Aesthetics Uncertainty,less attractive,1,distracting/confusing/unclear,distracting/confusing/unclear
Text,Aesthetics Uncertainty,looks random/messy/lack structure,1,distracting/confusing/unclear,distracting/confusing/unclear
Text,"Color, Symbol, and Texture Details",amount of / too many colors,1,color variety/shading,color variety/shading
Text,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,6,color variety/shading,color variety/shading
Text,"Color, Symbol, and Texture Details",ambiguous/confusing colors,1,color contrast/clarity,color contrast/clarity
Text,"Color, Symbol, and Texture Details",low color contrast/separation/segmentation,1,color contrast/clarity,color contrast/clarity
Text,"Color, Symbol, and Texture Details",no color difference,1,color contrast/clarity,color contrast/clarity
Text,"Color, Symbol, and Texture Details",unclear color meaning,1,color contrast/clarity,color contrast/clarity
Text,"Color, Symbol, and Texture Details",unclear coloring,1,color contrast/clarity,color contrast/clarity
Text,"Color, Symbol, and Texture Details",unclear colormaps,1,color contrast/clarity,color contrast/clarity
Text,"Color, Symbol, and Texture Details",monochrome,1,monochrome,
Text,"Color, Symbol, and Texture Details",soft/layered/overlapping colors,1,soft/layered/overlapping colors,
Text,"Color, Symbol, and Texture Details",two colors,3,two colors,
Text,Data Density / Image Clutter,dense/cluttered data/info,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Text,Data Density / Image Clutter,dense/cluttered layout,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Text,Data Density / Image Clutter,messy/mixed up/noisy/intermingled elements,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Text,Data Density / Image Clutter,clustered data/info,1,much/little data/info,much/little data/info
Text,Data Density / Image Clutter,fine/layered details,1,much/little data/info,much/little data/info
Text,Data Density / Image Clutter,little data/info,2,much/little data/info,much/little data/info
Text,Data Density / Image Clutter,more detailed/things,2,much/little data/info,much/little data/info
Text,Data Density / Image Clutter,much/more data/info/info spread,7,much/little data/info,much/little data/info
Text,Data Density / Image Clutter,too much data/info,1,much/little data/info,much/little data/info
Text,Data Density / Image Clutter,many points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Text,Data Density / Image Clutter,many/more data/info,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Text,Data Density / Image Clutter,more charts/points/lines/shapes/elements,3,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Text,Data Density / Image Clutter,too many details/divisions,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Text,Immediacy / Cognitive Load,unclear meaning/confusing,2,unclear meaning/confusing,unclear meaning/confusing
Text,Immediacy / Cognitive Load,more reading/interpretation/understanding,2,take longer to interpret,take longer to interpret
Text,Immediacy / Cognitive Load,provokes thought and understanding,1,take longer to interpret,take longer to interpret
Text,Immediacy / Cognitive Load,easier to interpret/read/understand,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,easier to process/visualize,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,easy to interpret/read/understand,6,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,easy to understand,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,hard to interpret/read/understand,5,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,hard to interpret/read/understand/differentiate,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,hard to read shape,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,hard to see/tell/visualize,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,less intuitive,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,more complicated,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,more difficult,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,2,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,more intricate,1,easy/hard to interpret,easy/hard to interpret
Text,Immediacy / Cognitive Load,not intuitive/simple data,1,distracting/confusing/unclear,distracting/confusing/unclear
Text,Schema,a specific technique,5,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Text,Schema,"a specific technique, e.g., bar, pie, circle",1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Text,Schema,"domain-specific concepts (e.g., chemical, biology, map)",4,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Text,Schema,familiar representation,3,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Text,Schema,unfamiliar concepts/patterns,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Text,Semantics / Text Legibility,different font/word sizes/structure,6,word rotation/small font size,word rotation/small font size
Text,Semantics / Text Legibility,order of words,1,word rotation/small font size,word rotation/small font size
Text,Semantics / Text Legibility,readability,1,word rotation/small font size,word rotation/small font size
Text,Semantics / Text Legibility,single font,1,word rotation/small font size,word rotation/small font size
Text,Semantics / Text Legibility,word rotation/small font size,6,word rotation/small font size,word rotation/small font size
Text,Semantics / Text Legibility,different word meaning,1,unclear meaning/confusing,unclear meaning/confusing
Text,Semantics / Text Legibility,indication,1,unclear meaning/confusing,unclear meaning/confusing
Text,Semantics / Text Legibility,lack of meaning,1,unclear meaning/confusing,unclear meaning/confusing
Text,Semantics / Text Legibility,unclear relation between words,1,unclear meaning/confusing,unclear meaning/confusing
Text,Semantics / Text Legibility,cluttered labels/annotations,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Text,Semantics / Text Legibility,clear title/axis/label,2,labels/axes/legends,labels/axes/legends
Text,Semantics / Text Legibility,highlighted words,1,labels/axes/legends,labels/axes/legends
Text,Semantics / Text Legibility,label meaning,1,labels/axes/legends,labels/axes/legends
Text,Semantics / Text Legibility,lack of/not enough axis labels/legend/annotations/context,1,labels/axes/legends,labels/axes/legends
Text,Semantics / Text Legibility,title/axis/label/descriptions,3,labels/axes/legends,labels/axes/legends
Text,Semantics / Text Legibility,hard to read,2,easy/hard to interpret,easy/hard to interpret
Text,Semantics / Text Legibility,unreadable,1,easy/hard to interpret,easy/hard to interpret
Text,Semantics / Text Legibility,recognizable objects,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Text,Semantics / Text Legibility,dates,1,color variety/shading,color variety/shading
Text,Semantics / Text Legibility,amount of words/context/numbers,3,amount of words/context/numbers,amount of words/context/numbers
Text,Semantics / Text Legibility,code/text,1,amount of words/context/numbers,amount of words/context/numbers
Text,Semantics / Text Legibility,more texts/words,6,amount of words/context/numbers,amount of words/context/numbers
Text,Semantics / Text Legibility,word frequency,2,amount of words/context/numbers,amount of words/context/numbers
Text,Semantics / Text Legibility,word/text/sentence,5,amount of words/context/numbers,amount of words/context/numbers
Text,Semantics / Text Legibility,words and numbers,1,amount of words/context/numbers,amount of words/context/numbers
Text,Semantics / Text Legibility,-,1,-,
Text,Semantics / Text Legibility,clear text arrangement/density,1,clear text arrangement/density,
Text,Semantics / Text Legibility,more labels/context,1,more labels/context,
Text,Visual Encoding Clarity,understand/read shapes,1,understand/read shapes,understand/read shapes
Text,Visual Encoding Clarity,no clear indication,1,unclear meaning/confusing,unclear meaning/confusing
Text,Visual Encoding Clarity,curves and shapes,1,shapes and lines,shapes and lines
Text,Visual Encoding Clarity,element sizes,2,shapes and lines,shapes and lines
Text,Visual Encoding Clarity,indistinguishable/unintuitive lines,1,shapes and lines,shapes and lines
Text,Visual Encoding Clarity,lines,2,shapes and lines,shapes and lines
Text,Visual Encoding Clarity,shape variety,1,shapes and lines,shapes and lines
Text,Visual Encoding Clarity,shapes,1,shapes and lines,shapes and lines
Text,Visual Encoding Clarity,shapes and lines,1,shapes and lines,shapes and lines
Text,Visual Encoding Clarity,more uniform design,1,2D/3D,2D/3D
Text,Visual Encoding Clarity,design-data relationship,1,design-data relationship,
Text,Visual Encoding Clarity,less organized elements,1,less organized elements,
Text,Visual Encoding Clarity,scale difference,1,scale difference,
Text,Visual Encoding Clarity,shape position,1,shape position,
Text,Visual Encoding Clarity,simple visual elements,1,simple visual elements,
